Key	aad9	aadE	acr3	ant(6)-Ia	aph(2'')-IIIa	aph(3')-IIIa	arsP	blaOXA-184	blaOXA-193	blaOXA-61_G-57T	cmeB	erm(B)	gyrA_T86I	rplV_A103V	sat4	spw	tet(O)
CA110357	YES	YES	NO	NO	NO	NO	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	YES
CA114720	NO	NO	NO	YES	NO	YES	NO	YES	NO	NO	YES	YES	YES	NO	YES	YES	YES
CA139575	YES	YES	YES	NO	NO	YES	NO	NO	YES	YES	NO	YES	YES	NO	YES	NO	YES
CA140404	NO	NO	NO	NO	NO	NO	YES	NO	YES	YES	YES	NO	YES	YES	NO	NO	YES
CA140705	YES	YES	YES	NO	YES	YES	NO	NO	YES	YES	NO	NO	YES	NO	YES	YES	YES
CA140717	YES	YES	NO	NO	NO	NO	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	YES
