sample	aad9	aadE	ant(6)-Ia	aph(2'')-IIIa	aph(3')-IIIa	arsP	blaOXA-184	blaOXA-193	blaOXA-61_G-57T	cadF	cdtA	cdtB	cdtC	cheA	cheV	cheW	cheY	ciaB	ciaC	Cj1416c	Cj1417c	Cj1419c	Cj1420c	Cj1427c	cmeB	cysC	eptC	erm(B)	flaA	flaB	flaC	flaD	flaG	flgA	flgB	flgC	flgD	flgE	flgF	flgG	flgH	flgI	flgJ	flgK	flgM	flgP	flgQ	flgR	flgS	flhA	flhB	flhF	flhG	fliA	fliD	fliE	fliF	fliG	fliH	fliI	fliK	fliL	fliM	fliN	fliP	fliQ	fliR	fliS	fliW	fliY	gmhA	gmhA2	gmhB	gyrA_T86I	hddA	hddC	hldD	hldE	htrB	jlpA	kpsC	kpsD	kpsE	kpsF	kpsM	kpsS	kpsT	maf4	motA	motB	pebA	pflA	porA	pseA	pseB	pseC	pseE/maf5	pseF	pseG	pseH	pseI	ptmA	ptmB	rplV_A103V	rpoN	sat4	spw	tet(O)	waaC	waaF	waaV
CA110357	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0
CA114720	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
CA139575	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0
CA140404	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
CA140705	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
CA140717	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0
